Subject,Vibration Side,Vibration Pair (ms),Accuracy
23,0,270,0.0
23,1,270,1.0
23,0,270,1.0
23,1,270,1.0
23,0,270,1.0
23,1,270,1.0
23,1,270,1.0
23,0,330,1.0
23,1,330,1.0
23,1,330,0.0
23,0,330,1.0
23,1,330,1.0
23,0,330,1.0
23,1,330,1.0
23,0,330,1.0
23,1,330,1.0
23,0,330,1.0
23,0,380,1.0
23,0,380,1.0
23,1,380,1.0
23,1,380,1.0
23,0,380,1.0
23,1,380,1.0
23,1,380,1.0
23,0,380,0.0
23,1,380,1.0
23,1,380,0.0
23,0,600,1.0
23,1,600,1.0
23,1,600,1.0
23,1,600,1.0
23,0,600,1.0
23,1,600,1.0
23,0,600,1.0
23,1,600,1.0
23,0,600,1.0
23,0,600,1.0
24,1,60,0.0
24,0,60,1.0
24,0,60,1.0
24,1,60,1.0
24,0,60,1.0
24,1,60,1.0
24,0,60,0.0
24,1,60,0.0
